region,LON,LAT
서울,126.9779692,37.566535
대전,127.3845475,36.3504119
광주,126.8526012,35.1595454
대구,128.601445,35.8714354
부산,129.0756416,35.1795543
울산,129.3113596,35.5383773
세종,127.30912,36.601557
인천,126.7052062,37.4562557
영광,126.5119874,35.2771719
무안,126.4816856,34.9904542
목포,126.3921664,34.8118351
춘양,126.957259,34.95015
승주,127.389868,35.0144092
순천,127.4872135,34.950637
광양,127.6958882,34.9406968
여수공항,127.6140359,34.8401522
여수,127.6622221,34.7603737
고흥,127.284978,34.6112219
보성,127.0798944,34.7714563
장흥,126.9069278,34.6816856
해남,126.5989274,34.5732516
완도,126.7550541,34.3110596
진도,126.2634853,34.4868712
흑산도,125.4196376,34.6706637
군산,126.7366293,35.9676772
익산,126.9575991,35.9482858
전주,127.1479532,35.8242238
부안,126.7334651,35.7315661
변산,126.531389,35.680833
정읍,126.8558955,35.5698855
임실,127.2826599,35.6110549
장수,127.5211363,35.6472767
남원,127.3904877,35.416357
거창,127.9095155,35.6867229
밀양,128.7464415,35.5037598
김해,128.8893517,35.2285451
진해,128.7100381,35.1330251
창원,128.682005,35.227451
마산,128.581433,35.213516
거제,128.6210824,34.8806427
통영,128.433182,34.8544227
사천,128.064185,35.0037788
진주,128.1076213,35.1799817
남해,127.8924234,34.8376721
울진,129.4004195,36.9930661
영주,128.6240551,36.8056858
안동,128.729357,36.5683543
영덕,129.3659681,36.4150799
의성,128.6970053,36.3526576
보현산,128.9747623,36.1616304
포항,129.3434808,36.0190178
영천,128.9385493,35.9732915
경주,129.2247477,35.8561719
구미,128.3445734,36.119485
김천,128.1135947,36.1398393
상주,128.1590828,36.4109466
태안,126.2980528,36.7456421
서산,126.4503169,36.7844993
당진,126.6283278,36.8936109
천안,127.1138939,36.815129
아산,127.0018494,36.789796
보령,126.6129441,36.3331629
서천,126.6913277,36.0803312
논산,127.0987453,36.1870656
소백산,128.446123,36.9517199
제천,128.1909481,37.1325821
충주,127.9259497,36.9910113
청주공항,127.495889,36.7219769
청주,127.4890319,36.6424341
추풍령,128.005,36.2066667
파주,126.7801781,37.7598688
고양,126.8320201,37.6583599
부천,126.7660309,37.5034138
양평,127.4875607,37.4912195
광주(경기),127.2561413,37.4171413
안양,126.9568209,37.3942527
시흥,126.8031025,37.3798877
안산,126.8308848,37.3218778
수원,127.0286009,37.2635727
용인,127.1775537,37.2410864
화성,126.8311887,37.1994932
여주,127.6371628,37.2980237
평택,127.1129451,36.9921075
고성(강원),128.4674385,38.3801292
속초,128.5918489,38.2070148
양양,128.6188503,38.0753925
주문진,128.8234093,37.8940101
강릉,128.8760574,37.751853
동해,129.114208,37.52393
삼척,129.1652059,37.4498683
대관령,128.7605707,37.6871367
태백,128.9855649,37.1640654
영월,128.4617535,37.183637
원주,127.9201621,37.3422186
춘천,127.7299707,37.8813153
울릉도,130.8571536,37.5063677
독도,131.8679314,37.2426647
강화도,126.447775,37.710767
제주,126.4983,33.48901
제주(레이다기지),126.251235,33.369312
성산일출봉,126.9425,33.45806
서귀포,126.5601,33.25412
